,Location,Date,Value
170,Jerry Cline Park Bicyclists OUT East,2017-07,0.0
171,Erna Fergusson Library Bicycle Eastbound,2017-07,2263.0
172,Erna Fergusson Library Bicycle Westbound,2017-07,1896.0
173,Erna Fergusson Library PED Eastbound,2017-07,3133.0
174,Erna Fergusson Library PED Westbound,2017-07,1777.0
175,North Diversion Channel Trail & Indian School Rd Cyclists NORTH,2017-07,0.0
176,North Diversion Channel Trail & Indian School Rd  Cyclists SOUTH,2017-07,0.0
177,North Diversion Channel Trail & Indian School Pedestrians NORTH,2017-07,0.0
178,North Diversion Channel Trail & Indian School Pedestrians SOUTH,2017-07,0.0
179,North Diversion Channel Trail & Journal Center Cyclists IN NORTH,2017-07,0.0
180,North Diversion Channel Trail & Journal Center Cyclists OUT SOUTH,2017-07,0.0
181,North Diversion Channel Trail & Journal Center Pedestrians IN NORTH,2017-07,0.0
182,North Diversion Channel Trail & Journal Center Pedestrians OUT SOUTH,2017-07,0.0
183,Jerry Cline Park Cyclists IN West,2017-07,0.0
184,Paseo del Bosque & Montano Rd Cyclists North,2017-07,0.0
185,Paseo del Bosque & Montano Rd Cyclists South,2017-07,0.0
186,Paseo del Bosque & Montano Rd Pedestrians North,2017-07,0.0
187,Paseo del Bosque & Montano Rd Pedestrians South,2017-07,0.0
188,Paseo del Bosque & Tingley Beach Cyclists IN NORTH,2017-07,0.0
189,Paseo del Bosque & Tingley Beach Cyclists OUT SOUTH,2017-07,0.0
190,Paseo del Bosque & Tingley Beach Pedestrians IN NORTH,2017-07,0.0
191,Paseo del Bosque &Tingley Beach Pedestrians OUT SOUTH,2017-07,0.0
192,Paseo del Norte & Rail Runner Bicycle Eastbound,2017-07,3287.0
193,Paseo del Norte & Rail Runner Bicycle Westbound,2017-07,3270.0
194,Paseo del Norte & Rail Runner PED Eastbound,2017-07,495.0
195,Paseo del Norte & Rail Runer PED Westbound,2017-07,566.0
196,Jerry Cline Park Pedestrians IN West,2017-08,0.0
197,Jerry Cline Park Pedestrians OUT East,2017-08,0.0
198,Jerry Cline Park Bicyclists OUT East,2017-08,0.0
199,Erna Fergusson Library Bicycle Eastbound,2017-08,2071.0
200,Erna Fergusson Library Bicycle Westbound,2017-08,1809.0
201,Erna Fergusson Library PED Eastbound,2017-08,3136.0
202,Erna Fergusson Library PED Westbound,2017-08,2452.0
203,North Diversion Channel Trail & Indian School Rd Cyclists NORTH,2017-08,0.0
204,North Diversion Channel Trail & Indian School Rd  Cyclists SOUTH,2017-08,0.0
205,North Diversion Channel Trail & Indian School Pedestrians NORTH,2017-08,0.0
206,North Diversion Channel Trail & Indian School Pedestrians SOUTH,2017-08,0.0
207,North Diversion Channel Trail & Journal Center Cyclists IN NORTH,2017-08,0.0
208,North Diversion Channel Trail & Journal Center Cyclists OUT SOUTH,2017-08,0.0
209,North Diversion Channel Trail & Journal Center Pedestrians IN NORTH,2017-08,0.0
210,North Diversion Channel Trail & Journal Center Pedestrians OUT SOUTH,2017-08,0.0
211,Jerry Cline Park Cyclists IN West,2017-08,0.0
212,Paseo del Bosque & Montano Rd Cyclists North,2017-08,0.0
213,Paseo del Bosque & Montano Rd Cyclists South,2017-08,0.0
214,Paseo del Bosque & Montano Rd Pedestrians North,2017-08,0.0
215,Paseo del Bosque & Montano Rd Pedestrians South,2017-08,0.0
216,Paseo del Bosque & Tingley Beach Cyclists IN NORTH,2017-08,0.0
217,Paseo del Bosque & Tingley Beach Cyclists OUT SOUTH,2017-08,0.0
218,Paseo del Bosque & Tingley Beach Pedestrians IN NORTH,2017-08,0.0
